"SECTION","COMMENTS","data_type","slug","name","description","formula","partition","origin","method","sector","variable","target"
,,"boolean","emergency_transport_ambulance","Emergency Transport (Ambulance)",,,,,,,,
,,"float","km_to_referral_facility","KM to Referral Facility",,,,,,,,
,,"boolean","antenatal_care_yn","Antenatal Care",,,,,,,,
,,"boolean","compr_oc_available_24_7","Comprehensive obstetric services 24/7",,,,,,,,
,,"boolean","emoc_available_24_7","Emergency Medical Obstetric Services available 24/7",,,,,,,,
,,"boolean","facility_open_247_yn","Facility open 24 hours a day, 7 days a week",,,,,,,,
,,"boolean","paid_services_anc_delivery","Paid services: ANC delivery (Y/N)",,,,,,,,
,,"boolean","child_health_bcg_immunization","BCG Immunization",,,,,,,,
,,"boolean","child_health_opv_immuization","OPV Immunization",,,,,,,,
,,"boolean","child_health_dpt_immunization","DPT Immunization",,,,,,,,
,,"boolean","child_health_hepb_immunization","HepB Immunization",,,,,,,,
,,"boolean","child_health_growth_monitor","Growth Monitoring",,,,,,,,
,,"boolean","child_health_deworming","Deworming",,,,,,,,
,,"boolean","paid_services_child_health","User feeds for child health services",,,,,,,,
,,"boolean","hiv_treatment_yn","HIV Treatment",,,,,,,,
,,"boolean","hiv_tx_srvcs_pmtct_services","PMTCT Services",,,,,,,,
,,"boolean","lab_tests_tb_microscopy","TB microscopy (Y/N)",,,,,,,,
,,"boolean","tb_treatment_yn","TB Treatment",,,,,,,,
,,"boolean","lab_tests_malaria_rdt","Malaria RDT Testing",,,,,,,,
,,"boolean","malaria_treatment_yn","Malaria Treatment (ACT)",,,,,,,,
,,"boolean","malaria_treatment_srvcs_itn","Insecticide-treated bednets",,,,,,,,
,,"string","school_name","Name",,,,,,,,
,,"string","level_of_education","Level","Level of education",,,,,,,
,,"string","education_type","Education Type","Type of education offered.",,,,,,,
,,"string","num_students_frthr_than_3km","Number of students living further then 3 KM from school",,,,,,,,
,,"boolean","fees_paid_for_by_school_none","No School Fees",,,,,,,,
,,"float","num_tchrs_total","Number of Teachers",,,,,,,,
,,"float","num_students_total","Number of Students",,,,,,,,
,,"float","num_students_male","Number of male students",,,,,,,,
,,"float","num_students_female","Number of female students",,,,,,,,
,,"boolean","gender_separated_toilets_yn","Gender Separated Toilets",,,,,,,,
,,"boolean","emoc_parenteral1",,,,,,,,,
,,"boolean","emoc_transport_referrals",,,,,,,,,
,,"boolean","emoc_uterotonic2",,,,,,,,,
,,"boolean","emoc_four_midwives",,,,,,,,,
,,"boolean","emoc_parenteral_anticonvulsant",,,,,,,,,
,,"boolean","emoc_forceps",,,,,,,,,
,,"boolean","emoc_vacuum_extractor",,,,,,,,,
,,"boolean","emoc_oxytocin",,,,,,,,,
,,"boolean","emoc_nurse_midwife_24_7",,,,,,,,,
,,"boolean","emoc_misoprotol",,,,,,,,,
,,"boolean","emoc_antibiotics",,,,,,,,,
,,"boolean","emoc_antishock_garment",,,,,,,,,
,,"boolean","compr_oc_c_sections",,,,,,,,,
,,"boolean","compr_oc_one_nursemidwife_24hr",,,,,,,,,
,,"boolean","compr_oc_antibiotics",,,,,,,,,
,,"boolean","compr_oc_oxytocin",,,,,,,,,
,,"boolean","compr_oc_misoprotol",,,,,,,,,
,,"boolean","compr_oc_antishock_garment",,,,,,,,,
,,"boolean","compr_oc_transport_referrals",,,,,,,,,
,,"boolean","compr_oc_suction_machine",,,,,,,,,
,,"boolean","compr_oc_four_midwives",,,,,,,,,
,,"boolean","compr_oc_blood_transfusions",,,,,,,,,
,,"boolean","school_code_yn",,,,,,,,,
,,"boolean","toilet_flush_or_pour_flush",,,,,,,,,
,,"boolean","toilet_ventilated_improved",,,,,,,,,
,,"boolean","toilet_pit_latrine_with_slab",,,,,,,,,
,,"boolean","natl_curriculum_yn",,,,,,,,,
,,"boolean","teacher_guide_yn",,,,,,,,,
,,"boolean","provide_pens_yn",,,,,,,,,
,,"boolean","equipment_emergency_transport","Access to emergency transportation",,,,,,,,
,,"boolean","public_transport_funct_yn","Emergency tranportation currently functional",,,,,,,,
,,"boolean","info_tech_available_mobile","Mobile phone  ",,,,,,,,
,,"boolean","mobile_phone_funct_yn","Mobile phone that is currently functioning",,,,,,,,
,,"boolean","info_tech_available_coverage","Mobile phone coverage on the premises",,,,,,,,
,,"boolean","equipment_bp_machine","BP machine",,,,,,,,
,,"boolean","equipment_scale","Scale",,,,,,,,
,,"boolean","child_health_weighing_scale","Weighing scale",,,,,,,,
,,"boolean","equipment_sterilizer","Sterilizer",,,,,,,,
,,"boolean","supplies_available_latex_gloves","Latex gloves",,,,,,,,
,,"boolean","supplies_available_syringes","Syringes",,,,,,,,
,,"boolean","medication_anti_malarials","Anti-malarial medications",,,,,,,,
,,"boolean","medication_anti_biotics","Antibiotics",,,,,,,,
,,"boolean","medication_iv_fluid","IV fluids",,,,,,,,
,,"boolean","medication_antihistamines","Antihistamines",,,,,,,,
,,"boolean","child_health_mebendazole","Mebendazole",,,,,,,,
,,"boolean","lab_tests_malaria_microscopy","Malaria microscopy",,,,,,,,
,,"boolean","lab_tests_hemoglobin_testing","Hemoglobin testing",,,,,,,,
,,"boolean","supplies_available_bednets","Bednets available",,,,,,,,
,,"boolean","malaria_treatment_artemisinin","Artemisinin based treatment for malaria (ACT) ",,,,,,,,
,,"boolean","equipment_refrigerator","Equipment refrigerator",,,,,,,,
,,"boolean","vaccines_stored_yn","Vaccines stored",,,,,,,,
,,"boolean","child_health_measles_immun","Measles vaccination",,,,,,,,
,,"boolean","child_health_tetanus_immun","Tetanus vaccination",,,,,,,,
,,"boolean","malaria_treatment_sulphadoxine","Sulphadoxine for malaria prevention during pregnancy",,,,,,,,
,,"float","num_jr_chews_fulltime","Junior CHEWs",,,,,,,,
,,"float","days_no_electricity","Days without power",,,,,,,,
,,"float","days_no_potable_water_pastmth","Days without potable water",,,,,,,,
,,"float","flush_toilet_not_working","Flush toilet is not working",,,,,,,,
,,"float","vip_latrine_not_working","VIP latrine is not working",,,,,,,,
,,"string","education_type","Education Type","Type of education offered.",,,,,,,
,,"string","num_students_frthr_than_3km","Number of students living further then 3 KM from school",,,,,,,,
,,"boolean","fees_paid_for_by_school_none","No School Fees",,,,,,,,
,,"float","num_tchrs_total","Number of Teachers",,,,,,,,
,,"float","num_students_total","Number of Students",,,,,,,,
,,"boolean","gender_separated_toilets_yn","Gender Separated Toilets",,,,,,,,
,,"float","num_classrms_need_min_repairs","Number of classroooms needing minor repairs",,,,,,,,
,,"float","num_classrms_need_maj_repairs","Number of classroooms needing major repairs",,,,,,,,
,,"float","num_classrms_good_cond","Number of classrooms in good condition",,,,,,,,
,,"boolean","chalkboard_each_classroom_yn","Chalkboard in every classroom",,,,,,,,
,,"float","num_attached_benches","Number of attached benches",,,,,,,,
,,"float","num_unattached_benches","Number of unattached benches",,,,,,,,
,,"float","num_unattached_desks","Number of unattached desks",,,,,,,,
,,"float","num_textbooks_english","Number of english textbooks per 10 students",,,,,,,,
,,"float","num_textbooks_math","Number of math textbooks per 10 students",,,,,,,,
,,"float","num_textbooks_social_sci","Number of social science textbooks per 10 students",,,,,,,,
,,"float","num_textbooks_pry_sci","Number of primary science textbooks per 10 students",,,,,,,,
,,"float","num_exercise_books","Number of exercise books per 10 students",,,,,,,,
,,"boolean","pens_sufficient","Are there sufficient pens and pencils for all students?",,,,,,,,
,,"float","tchrs_male_other_wo_nce","Unqualified male teachers ",,,,,,,,
,,"float","tchrs_female_other_wo_nce","Unqualified female teachers ",,,,,,,,
,,"float","tchrs_male_other_w_nce","Qualified male teachers ",,,,,,,,
,,"float","tchrs_female_other_w_nce","Qualified female teachers ",,,,,,,,
,,"float","slab_pit_latrine_not_working",,,,,,,,,
,,"float","percentage_households_with_access_to_improved_water_sources","Percentage households with access to improved water sources","Number of households with access to improved water sourcs/ Total number of households",,,,,,,
,,"float","percentage_households_with_access_to_improved_sanitation","Percentage households with access to improved sanitation","Number of households with access to improved sanitation/ Total number of households",,,,,,,
,,"float","immunization_rate_dpt3","Immunization rate (DPT 3) ","Percentage of children aged 12–23 months who received DPT3 immunization any time before the survey",,,,,,,
,,"float","immunization_rate_measles","Immunization rate (measles)","Percentage of children aged 12–23 months who received measles immunization any time before the survey",,,,,,,
,,"float","proportion_of_children_u5_reporting_fever_last_2wks","Proportion of children under 5 who reporting fever in the last 2 weeks","Percentage of children under 5 years old who reported fever in the last two weeks before the survey",,,,,,,
,,"float","proportion_of_children_u5_treated_with_antimalarial_drugs","Proportion of children under 5 with fever who are treated with appropriate anti-malarial drugs ","Percentage of children under five years  ill with  fever in the last two weeks preceding the interview who took any of the following;Fansidar,Chloroquine, Amodiaquine, Quinine, or Artemisinin.",,,,,,,
,,"float","proportion_of_children_u5_diarrhea_last_2wks","Proportion of children under 5 with diarrhea in the last 2 weeks ","Percentage of Children under 5 years old who had diarrhea in the last two weeks",,,,,,,
,,"float","proportion_of_children_u5_diarrhea_treated_with_ors_med","Proportion of children under 5 with diarrhea who are treated with appropriate ORS medication ","Percentage of Children under 5 years old who had diarrhea in the last two weeks who were treated with ORS or RHS ",,,,,,,
,,"float","prevalence_of_underweight_children_u5","Prevalence of underweight (weight-for-age) in children under 5 years (-2SD from mean Z-score) ","Percentage of children under five whose weight-for-age is below minus two standard deviations (-2 SD) from the median of the reference population (all children under 5)",,,,,,,
,,"float","prevalence_of_stunting_children_u5","Prevalence of stunting (height-for-age) in children under 5 years (-2SD from mean Z-score) ","Percentage of children under five whose height-for-age is below minus two standard deviations (-2 SD) from the median of the reference population ",,,,,,,
,,"float","prevalence_of_wasting_children_u5","Prevalence of wasting (weight-for-height) in children under 5 years (-2SD from the mean Z-scores) ","Percentage of children whose weight-for-height is below minus two standard deviations (-2 SD) from the median of the reference population ",,,,,,,
,,"float","mortality_rate_children_u5","Under 5 Child Mortality Rate ","Proportion of children out of 1000 live births who would die before reach 5 years of age ",,,,,,,
,,"float","mortality_rate_infant","Infant Mortality Rate ","Proportion of children out of 1000 live births who would die before reach 1 years of age ",,,,,,,
,,"float","proportion_of_births_with_postnatal_care_within_first_week","Proportion of births (under 5 year old) where postnatal care was provided within the first one week ","Proportion of birth under 5 where postnatal care was provided within the first one week. The birth here refers to the last birth of the women who gave at least one birth in the last five years outside of health facility",,,,,,,
,,"float","contraceptive_prevalence_rate_married_or_inunion_women_15_49","Contraceptive prevalence rate among married or in-union women aged 15-49 years [all methods]","Percentage of current use of all contraceptive method among married or in-union women aged 15-49 years ",,,,,,,
,,"float","antenatal_care_coverage","Antenatal care coverage [at least one visit]","Percentage of women with a birth in the last five years who had at least one antenatal care visit during the time of pregnancy.",,,,,,,
,,"float","proportion_of_births_by_skilled_health_personnel","Proportion of births attended by skilled health personnel ",,,,,,,,
,,"float","condom_use_at_last_high_risk_sex_women_15_49","Condom use at last high-risk sex among women aged 15-49 years ","The number of female respondents ages 15–24 who reported having had a non-regular (non-marital and non-cohabiting) sexual partner in the last 12 months and using a condom the last time they had sex with this partner, as a share of the number of respondents ages 15–24  who reported having had a non-regular sexual partner in the last 12 months.",,,,,,,
,,"float","condom_use_at_last_high_risk_sex_men_15_49","Condom use at last high-risk sex among men aged 15-49 years ","The number of male respondents ages 15–24 who reported having had a non-regular (non-marital and non-cohabiting) sexual partner in the last 12 months and using a condom the last time they had sex with this partner, as a share of the number of respondents ages 15–24  who reported having had a non-regular sexual partner in the last 12 months.",,,,,,,
,,"float","proportion_women_15_24_with_comp_correct_hiv_aids_knowledge","Proportion of women aged 15-24 years with comprehensive correct knowledge of HIV/AIDS ","Percentage of  women aged 15–24 years with comprehensive correct knowledge of HIV/AIDS is the share of women aged 15–24 years who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting  sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission and who  know that a healthy-looking person can transmit HIV",,,,,,,
,,"float","proportion_men_15_24_with_comp_correct_hiv_aids_knowledge","Proportion of men aged 15-24 years with comprehensive correct knowledge of HIV/AIDS ","Percentage of men aged 15–24 years with comprehensive correct knowledge of HIV/AIDS is the share of men aged 15–24 years who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting  sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission and who  know that a healthy-looking person can transmit HIV",,,,,,,
,,"float","percentage_pregnant_women_tested_for_hiv_during_pregnancy","Percentage of pregnant women tested for HIV during their pregnancy ","Percentage of women between 15-49 years who were preganant in the last 5 years who got tested for HIV as a part of antenatal visit",,,,,,,
,,"float","percentage_of_individuals_tested_for_hiv_ever","Percentage of Individuals that have been tested for HIV ever ","Percentage of women aged 15-49 years old who have ever been tested for HIV",,,,,,,
,,"float","proportion_children_u5_sleeping_under_itns","Proportion of children under 5 sleeping under insecticide-treated bed nets","Percentage of children under 5  who slept under insecticide-treated bednets the night before the survey",,,,,,,
,,"float","proportion_households_with_at_least_1_itn","Proportion of households with at least one insecticide-treated bed net","Proportion of households that has at least one insecticide-treated bed net",,,,,,,
,,"float","percentage_teachers_with_formal_teaching_qualification_for_primary_school","% teachers with formal teaching qualification for primary school[LGA]","Number of primary school teachers with formal qualifications/total number of primary school teachers in the LGA. ",,,,,,,
,,"float","ratio_boys_to_girls_primary_school_age","Boys:girls ratio primary school age [LGA]","Boys of primary school going age/ girls of primary school going age",,,,,,,
,,"float","ratio_boys_to_girls_secondary_school_age","Boys:girls ratio secondary school age [LGA]","Boys of secondary school going age/ girls of secondary school going age",,,,,,,
,,"float","gross_enrollment_ratio_secondary_education","Gross enrollment ratio for secondary education [LGA]","Total enrollment in secondary school, regardless of age, expressed as a percentage of the eligible official secondary school-age population ",,,,,,,
,,"float","literacy_rate","Literacy rate (%)[LGA]","Proportion of individuals aged 15 and over  who were unable to read a simple letter either in their local language or in English and were unable to write a letter in their local, language or in English from  the total population greater than 15 years . It could also be calculated as 100-%literacy rate",,,,,,,
,,"float","net_enrollment_ratio_primary_education","Net enrollment ratio for primary education[LGA]","Number of children of primary school  
going age who are enrolled in it, as a percentage of the official primary school going age population respectively",,,,,,,
,,"float","net_enrollment_ratio_secondary_education","Net enrollment ratio for secondary education [LGA]","Number of children of secondary school  going age who are enrolled in it, as a percentage of the official secondary going age population respectively",,,,,,,
,,"float","num_boys_primary_school_age","Number of boys of primary school going age","Number of boys that are of primary school going age (6 to 11 years)",,,,,,,
,,"float","num_children_primary_school_age","Number of children primary school going age ","Number of all children that are of primary school going age (6 to 11)",,,,,,,
,,"float","num_children_secondary_school_age","Number of children secondary school going age ","Number of all children that are of secondary school going age (12 to 17)",,,,,,,
,,"float","num_girls_primary_school_age","Number of girls of primary school going age","Number of girls that are of primary school going age ( 6 to 11 years)",,,,,,,
,,"float","num_girls_secondary_school_age","Number of girls of secondary school going age","Number of girls that are of secondary school going age (12 to 17)",,,,,,,
,,"float","num_primary_schools_govt_and_private","Number of primary schools (Government and Private) (LGA)","Number of existing public and private primary schools in the LGA",,,,,,,
,,"float","num_secondary_school_govt_and_private","Number of secondary schools (Government and Private)[LGA]","Number of exisitng public and private secondary schools in the LGA",,,,,,,
,,"float","student_teacher_ratio_primary_school","Students/teacher ratio for primary school [LGA]","Number of primary school students/ Number of primary school teachers",,,,,,,
,,"float","student_teacher_ratio_secondary_school","Students/teacher ratio for secondary  school [LGA]","Number of secondary school students/ Number of secondary school teachers",,,,,,,
,,"float","teacher_classroom_ratio_primary_school","Teacher to Classroom Ratio for primary schools(TCR)[LGA]","Number of primary school teachers/ Number of primary school classroom",,,,,,,
,,"float","teacher_classroom_ratio_secondary_school","Teacher to Classroom Ratio for secondary schools(TCR)[LGA]","Number of secondary school teachers/ Number of secondary school class room",,,,,,,
,,"float","transition_rate_js3_to_ss1","Transition rate from JS3 to SS1 total[LGA]","The number of  total students admitted to the last grade of secondary school (SS1) in a given year, expressed as a percentage of the number of total students enrolled in the first grade of secondary school (JS3) in the previous year.",,,,,,,
,,"float","transition_rate_primary_to_js1","Transition rate from primary to JS1 total [LGA]","The number of  total students admitted to the first grade of secondary school (JS1) in a given year, expressed as a percentage of the number of total students enrolled in the final grade of primary school (grade 6) in the previous year.",,,,,,,
,,"float","km_to_catchment_area","Kilometers to catchment area",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"CALCULATED VARIABLES",,,,,,,,,,,,
,,"boolean","power_access","Access to power","Has power","not d['power_sources_none']",,,,,,
,,"boolean","power_source_functional","Power is functioning","Power is functioning","d['days_no_electricity']<=7",,,,,,
,,"boolean","power_access_and_functional","Power source that is currently functional","Has power and it has been working at least 3 weeks in the past month","d['power_access'] and d['power_source_functional']",,,,,,
,,"boolean","water_access","Access to Water",,"not d['water_sources_none']",,,,,,
,,"boolean","water_source_functional","Working Condition","Working condition of water source","d['days_no_water_pastmth']<=7",,,,,,
,,"boolean","water_access_and_functional",,,"d['water_access'] and d['water_source_functional']",,,,,,
,,"boolean","improved_sanitation","Improved Sanitation",,"d['toilet_types_vip_latrine'] or d['toilet_types_pit_w_slab']",,,,,,
,,"boolean","improved_sanitation_not_functioning","Improved sanitation but not functional",,"d['flush_toilet_not_working']>=7 or d['vip_latrine_not_working']>=7 or d['slab_pit_latrine_not_working']>=7",,,,,,
,,"boolean","improved_sanitation_functioning","Functional improved sanitation",,"d['flush_toilet_not_working']<7 or d['vip_latrine_not_working']<7 or d['slab_pit_latrine_not_working']<7",,,,,,
,,"boolean","minimum_equipment_package","Minimum equipment package",,"d['equipment_bp_machine'] and (d['equipment_scale'] or d['child_health_weighing_scale']) and d['equipment_sterilizer'] and d['equipment_refrigerator'] and d['supplies_available_latex_gloves'] and d['supplies_available_syringes']",,,,,,
,,"boolean","minimum_essential_meds_package","Minimum essential medication package",,"d['medication_anti_malarials'] and d['medication_anti_biotics'] and d['medication_iv_fluid'] and d['medication_antihistamines'] and d['medication_oxytocin'] and d['emoc_parenteral_anticonvulsant'] and d['child_health_mebendazole']",,,,,,
,,"float","health_infrastructure_rating","Health Infrastructure Rating",,"sum_non_null_values(d,['water_access','power_access','improved_sanitation','mobile_signal_funct_yn'])",,,,,,
,,"boolean","skilled_birth_attendant","Skilled Birth Attendant",,"d['num_doctors_fulltime'] > 0 or d['num_nurses_fulltime'] > 0 or d['num_midwives_fulltime'] > 0 or d['num_nursemidwives_fulltime'] > 0",,,,,,
,,"boolean","adequate_chews","Adequate number of CHEWs",,"d['num_chews_fulltime'] > 0",,,,,,
,,"boolean","health_adequately_staffed","Health facility adequately staffed in past month",,"d['days_facility_understaffed']<7",,,,,,
,,"boolean","health_no_user_fees","Health facilities with no user fees",,"not d['paid_services_routine_visit']",,,,,,
,,"float","health_staffing_rating","Health staffing rating",,"sum_non_null_values(d,['adequate_chews','health_adequately_staffed','staff_paid_lastmth_yn'])",,,,,,
,,"boolean","emoc_services","Emergency Medical Obstetric Services",,"d['compr_oc_available_24_7' or d['emoc_available_24_7']]",,,,,,
,,"boolean","emergency_transport_currently_functioning","Has access to emergency transportation that is currently functioning",,"d['equipment_emergency_transport'] and d['public_transport_funct_yn']",,,,,,
,,"float","health_access_rating","Health Access Rating",,"sum_non_null_values(d,['facility_open_247_yn','all_weather_road_yn','health_no_user_fees','emergency_transport_currently_functioning'])",,,,,,
,,"boolean","maternal_health_delivery_services_24_7","Delivery Services 24/7",,"d['compr_oc_available_24_7'] or d['emoc_available_24_7']",,,,,,
,,"float","health_maternal_health_rating","Maternal Health Rating",,"sum_non_null_values(d,['emoc_services','family_planning_yn','emergency_transport_currently_functioning','antenatal_care_yn','maternal_health_delivery_services_24_7','paid_services_anc_delivery'])",,,,,,
,,"boolean","child_health_routine_immunization","Child Routine Immunization",,"d['child_health_bcg_immunization'] and d['child_health_opv_immunization'] and d['child_health_dpt_immunization']",,,,,,
,,"boolean","no_user_fees_child_health","No user fees for child health",,"not d['paid_services_child_health']",,,,,,
,,"float","health_child_health_rating","Child Health Rating",,"sum_non_null_values(d,['child_health_routine_immunization','child_health_growth_monitor','malaria_treatment_yn','child_health_deworming','no_user_fees_child_health'])",,,,,,
,,"float","health_disease_rating","Disease Rating",,"sum_non_null_values(d,['hiv_treatment_yn','hiv_tx_srvcs_pmtct_services','lab_tests_tb_microscopy','tb_treatment_yn','lab_tests_malaria_rdt','malaria_treatment_yn','malaria_treatment_srvcs_itn'])",,,,,,
,,"boolean","potable_water","Potable Water",,"not d['water_sources_none'] and ['days_no_potable_water_pastmth'] <= 7",,,,,,
,,"boolean","potable_water_access","Access to potable water",,"d['days_no_potable_water_pastmth']<=7",,,,,,
,,"boolean","education_improved_sanitation","Improved Sanitation",,"d['toilet_flush_or_pour_flush'] or d['toilet_ventilated_improved'] or d['toilet_pit_latrine_with_slab']",,,,,,
,,"boolean","education_improved_sanitation_gender_separated","Improved Sanitation and Gender Separated",,"d['education_improved_sanitation'] and d['gender_separated_toilets_yn']",,,,,,
,,"boolean","education_classroom_in_good_condition","Schools with classrooms in good condition",,"d['num_classrms_good_cond'] > 1 and ['num_classrms_need_min_repairs'] == 0 and d['num_classrms_need_maj_repairs'] == 0",,,,,,
,,"boolean","education_classroom_minor_repairs","Schools with classrooms need minor repair",,"d['num_classrms_need_min_repairs'] >= 1 and d['num_classrms_need_maj_repairs'] == 0",,,,,,
,,"boolean","education_classroom_major_repairs","Schools with classrooms needing major repair",,"d['num_classrms_need_maj_repairs'] >= 1",,,,,,
,,"boolean","school_3km_catchment","Schools within 3 km from catchment area",,"d['km_to_catchment_area'] <= 3",,,,,,
,,"boolean","school_3kmplus_catchment","Schools more then 3 km from catchment area",,"d['km_to_catchment_area'] >= 3",,,,,,
,,"boolean","education_adequate_staffing","Schools with adequate staffing in the past month",,"d['days_school_understaffed_closed'] < 1",,,,,,
,,"boolean","education_school_closed_staff","Schools closed for one or more days in the past month due to insufficient staff",,"d['days_school_understaffed_closed'] >=1",,,,,,
,,"boolean","education_nat_curriculum_teacher_guides","National Curriculum and all teachers have guides for all subjects",,"d['natl_curriculum_yn'] and  d['teacher_guide_yn']",,,,,,
,,"float","student_teacher_ratio","Student Teacher Ratio",,"d['num_students_total'] / d['num_tchrs_total']",,,,,,
,,"float","male_to_female_student_ratio","Male to female student ratio",,"d['num_students_male'] / d['num_students_female']",,,,,,
,,"float","education_infrastructure_rating","Education infrastructure rating",,"sum_non_null_values(d,['power_access', 'water_access', 'potable_water', 'education_improved_sanitation', 'gender_separated_toilets_yn'])",,,,,,
,,"float","education_classroom_rating","Education classroom state rating",,"sum_non_null_values(d,['education_classroom_in_good_condition','education_classroom_minor_repairs','education_classroom_major_repairs'])",,,,,,
,,"float","education_access_rating","Education Access Rating",,"sum_non_null_values(d,['school_3km_catchment','school_3kmplus_catchment','fees_paid_for_by_school_none'])",,,,,,
,,"float","education_staffing_rating","Education Staffing Rating",,"sum_non_null_values(d,['education_adequate_staffing','education_school_closed_staff'])",,,,,,
,,"float","education_resources_rating","Education Resources Rating",,"sum_non_null_values(d,['education_nat_curriculum_teacher_guides','natl_curriculum_yn','provide_pens_yn'])",,,,,,
